"Skola","Enhetskod","Skolkommun","Kommunkod","Typavhuvudman","Huvudman","HuvudmanOrgnr","Eleverförskoleklass","Andelflickor(%)","Elever ÅK 1-9","","","","","","","","","","","",""
"Sunhultskola","72916171","Aneby","0604","Kommunal","Anebykommun","2120000498","000000013","..","000000059","","","","","","","","","","","",""
"Tallbackaskolan","34811255","Aneby","0604","Kommunal","Anebykommun","2120000498","000000024","41.7","000000185","","","","","","","","","","","",""
"Viredaskola","81763314","Aneby","0604","Kommunal","Anebykommun","2120000498","000000015","..","000000064","","","","","","","","","","","",""
"Brattbergsskolan","77132043","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000036","58.3","000000112","","","","","","","","","","","",""
"Gäddgårdsskolan7-9","65483259","Arboga","1984","Kommunal","Arbogakommun","2120002122",".",".","000000221","","","","","","","","","","","",""
"GäddgårdsskolanF-6","40576446","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000038","52.6","000000318","","","","","","","","","","","",""
"Götlundaskola","56897691","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000017","..","000000088","","","","","","","","","","","",""
"Ladubacksskolan","76878404","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000049","51","000000219","","","","","","","","","","","",""
"MedåkersFriskola","53910317","Arboga","1984","Enskild","MedåkersFriskolaEkonomiskförening","7696383129","000000004","..","000000037","","","","","","","","","","","",""
"Nybyholmsskolan","80553326","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000020","..","000000099","","","","","","","","","","","",""
"Stureskolan","13854755","Arboga","1984","Kommunal","Arbogakommun","2120002122",".",".","000000299","","","","","","","","","","","",""
"Silverskolan","14254350","Arjeplog","2506","Kommunal","Arjeplogskommun","2120002668","000000026","42.3","000000212","","","","","","","","","","","",""
"Fridhemsskolan","48373752","Arvidsjaur","2505","Kommunal","Arvidsjaurskommun","2120002650",".",".","000000189","","","","","","","","","","","",""
"Parkskolan","16305064","Arvidsjaur","2505","Kommunal","Arvidsjaurskommun","2120002650",".",".","000000025","","","","","","","","","","","",""
"Ringelskolan","72388632","Arvidsjaur","2505","Kommunal","Arvidsjaurskommun","2120002650",".",".","000000185","","","","","","","","","","","",""
"Tallbackaskolan","13473423","Arvidsjaur","2505","Kommunal","Arvidsjaurskommun","2120002650","000000053","54.7","000000195","","","","","","","","","","","",""
"Dotteviksskolan","71123975","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000033","42.4","000000160","","","","","","","","","","","",""
"Edaneskola","26650042","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000022","59.1","000000148","","","","","","","","","","","",""
"Estetiskaskolan,högstadiet","99375199","Arvika","1784","Enskild","EstetiskaSkolanArvika","8740020212",".",".","000000150","","","","","","","","","","","",""
"Gateskolan","99788707","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000051","49","000000335","","","","","","","","","","","",""
"Glavaskola","96746847","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000004","..","000000062","","","","","","","","","","","",""
"Graningegården","21442650","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000018","..","000000074","","","","","","","","","","","",""
"Järvenskolan","63265335","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000018","..","000000135","","","","","","","","","","","",""
"Jösseforsskola","57618045","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000026","..","000000087","","","","","","","","","","","",""
"Klässbolsskola","34377463","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000016","..","000000097","","","","","","","","","","","",""
"Kyrkebyskolan4-6","53178437","Arvika","1784","Kommunal","Arvikakommun","2120001892",".",".","000000186","","","","","","","","","","","",""
"KyrkebyskolanF-3","82022664","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000074","50","000000202","","","","","","","","","","","",""
"Minnebergsskolan","55958613","Arvika","1784","Kommunal","Arvikakommun","2120001892",".",".","000000712","","","","","","","","","","","",""
"Rinnensskola","71530490","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000009",".","000000045","","","","","","","","","","","",""
"Styckåsskolan","11995760","Arvika","1784","Kommunal","Arvikakommun","2120001892","000000025","44","000000119","","","","","","","","","","","",""
"Sulviksskola","30153289","Arvika","1784","Kommunal","Arvikakommun","2120001892",".",".","000000081","","","","","","","","","","","",""
"Hammarsskola","95952398","Askersund","1882","Kommunal","Askersundskommun","2120001983","000000009","..","000000033","","","","","","","","","","","",""
"Närlundaskolan","34933810","Askersund","1882","Kommunal","Askersundskommun","2120001983","000000052","42.3","000000295","","","","","","","","","","","",""
"Rönneshyttaskola","42366130","Askersund","1882","Kommunal","Askersundskommun","2120001983","000000024","..","000000107","","","","","","","","","","","",""
"Sjöängsskolan","15766661","Askersund","1882","Kommunal","Askersundskommun","2120001983",".",".","000000411","","","","","","","","","","","",""
"Åmmebergsskola","94560681","Askersund","1882","Kommunal","Askersundskommun","2120001983","000000010","..","000000034","","","","","","","","","","","",""
"Åsbroskola","26625115","Askersund","1882","Kommunal","Askersundskommun","2120001983","000000023","..","000000134","","","","","","","","","","","",""
"Bergsnässkolan","52904254","Avesta","2084","Kommunal","Avestakommun","2120002262",".",".","000000258","","","","","","","","","","","",""
"Byskola","99431045","Avesta","2084","Kommunal","Avestakommun","2120002262","000000010","..","000000045","","","","","","","","","","","",""
"Domarhagsskolan","87516620","Avesta","2084","Kommunal","Avestakommun","2120002262",".",".","000000303","","","","","","","","","","","",""
"Forsskola","18273641","Avesta","2084","Kommunal","Avestakommun","2120002262","000000012","..","000000112","","","","","","","","","","","",""
"Grytnäsfriskola","96138660","Avesta","2084","Enskild","Avesta-Grytnäspastorat","2520047560","000000021","..","000000120","","","","","","","","","","","",""
"JohanOlovsskolan","48240990","Avesta","2084","Kommunal","Avestakommun","2120002262","000000012","..","000000213","","","","","","","","","","","",""
"Karlboskola","97945801","Avesta","2084","Kommunal","Avestakommun","2120002262","000000035","57.1","000000177","","","","","","","","","","","",""
"Krylboskola","62043194","Avesta","2084","Kommunal","Avestakommun","2120002262","000000028","57.1","000000078","","","","","","","","","","","",""
"Markusskolan","15648377","Avesta","2084","Kommunal","Avestakommun","2120002262","000000088","55.7","000000222","","","","","","","","","","","",""
"Nordanöskola","49218585","Avesta","2084","Kommunal","Avestakommun","2120002262","000000014","..","000000033","","","","","","","","","","","",""
"Skogsboskola","92591861","Avesta","2084","Kommunal","Avestakommun","2120002262","000000068","47.1","000000440","","","","","","","","","","","",""
"Åvestadalskolan","30454178","Avesta","2084","Kommunal","Avestakommun","2120002262",".",".","000000323","","","","","","","","","","","",""
"Bengtsgården","28484259","Bengtsfors","1460","Kommunal","Bengtsforskommun","2120001470",".",".","000000282","","","","","","","","","","","",""
"Bäckeskolan","46016643","Bengtsfors","1460","Kommunal","Bengtsforskommun","2120001470","000000011","..","000000068","","","","","","","","","","","",""
"Ekhagsskolan","95530848","Bengtsfors","1460","Kommunal","Bengtsforskommun","2120001470","000000023","73.9","000000175","","","","","","","","","","","",""
"Franserudsskolan","89639468","Bengtsfors","1460","Kommunal","Bengtsforskommun","2120001470","000000053","52.8","000000286","","","","","","","","","","","",""
"Hackåsskola","70084130","Berg","2326","Kommunal","Bergskommun","2120002502","000000007","..","000000056","","","","","","","","","","","",""
"Klövsjöskola","90462401","Berg","2326","Kommunal","Bergskommun","2120002502","000000005","..","000000034","","","","","","","","","","","",""
"KövraByskola","82304602","Berg","2326","Enskild","KövraByskolaAB","5567657316","000000005","..","000000041","","","","","","","","","","","",""
"Ljungdalensskola","47079538","Berg","2326","Kommunal","Bergskommun","2120002502",".",".","000000010","","","","","","","","","","","",""
"Myrvikensskola","56709330","Berg","2326","Kommunal","Bergskommun","2120002502","000000030","46.7","000000199","","","","","","","","","","","",""
"Rätansskola","28750488","Berg","2326","Kommunal","Bergskommun","2120002502","000000007","..","000000023","","","","","","","","","","","",""
