"Skola","Enhetskod","Skolkommun","Kommunkod","Typavhuvudman","Huvudman","HuvudmanOrgnr","Eleverförskoleklass","Andelflickor(%)","Elever ÅK 1-9","","","","","","","","","","","",""
"Lövstaresursskola","23656786","Gotland","0980","Kommunal","RegionGotland","2120000803",".",".","000000010","","","","","","","","","","","",""
"MontessoriFriskolaGotland","26322884","Gotland","0980","Enskild","MontessoriFriskolaGotlandAB","5567935514","000000009","..","000000065","","","","","","","","","","","",""
"Norrbackaskolan","16160425","Gotland","0980","Kommunal","RegionGotland","2120000803","000000023","..","000000129","","","","","","","","","","","",""
"Orionskolan","27928506","Gotland","0980","Enskild","StiftelsenOrionskolan","8340017915","000000014","..","000000150","","","","","","","","","","","",""
"Polhemskolan","64909736","Gotland","0980","Kommunal","RegionGotland","2120000803","000000014","..","000000117","","","","","","","","","","","",""
"Romaskolan","60700608","Gotland","0980","Kommunal","RegionGotland","2120000803","000000031","48.4","000000321","","","","","","","","","","","",""
"Sandaskola","48487229","Gotland","0980","Kommunal","RegionGotland","2120000803","000000022","72.7","000000047","","","","","","","","","","","",""
"Solbergaresursskola4-9","64662433","Gotland","0980","Kommunal","RegionGotland","2120000803",".",".","000000023","","","","","","","","","","","",""
"Solbergaskolan","96609581","Gotland","0980","Kommunal","RegionGotland","2120000803",".",".","000000671","","","","","","","","","","","",""
"Solklintsskolan","10979668","Gotland","0980","Kommunal","RegionGotland","2120000803","000000014","71.4","000000187","","","","","","","","","","","",""
"S:tHansskolan","92605941","Gotland","0980","Kommunal","RegionGotland","2120000803","000000023","43.5","000000135","","","","","","","","","","","",""
"Stenkyrkaskola","66967867","Gotland","0980","Kommunal","RegionGotland","2120000803","000000009","..","000000049","","","","","","","","","","","",""
"Stångaskola","88965786","Gotland","0980","Kommunal","RegionGotland","2120000803","000000010","..","000000087","","","","","","","","","","","",""
"Södervärnsskolan","80013231","Gotland","0980","Kommunal","RegionGotland","2120000803",".",".","000000584","","","","","","","","","","","",""
"TerraNovaskolan","27591331","Gotland","0980","Kommunal","RegionGotland","2120000803","000000020","..","000000151","","","","","","","","","","","",""
"TjelvarResursskolaF-3","40341856","Gotland","0980","Kommunal","RegionGotland","2120000803","000000006","..","000000009","","","","","","","","","","","",""
"Tjelvarskolan","52791160","Gotland","0980","Kommunal","RegionGotland","2120000803","000000018","55.6","000000104","","","","","","","","","","","",""
"Vängeskola","41120027","Gotland","0980","Kommunal","RegionGotland","2120000803",".",".","000000041","","","","","","","","","","","",""
"Väskindeskola","15459377","Gotland","0980","Kommunal","RegionGotland","2120000803","000000035","51.4","000000200","","","","","","","","","","","",""
"Västerhejdeskola","46114318","Gotland","0980","Kommunal","RegionGotland","2120000803","000000041","56.1","000000236","","","","","","","","","","","",""
"Öjaskola","37203128","Gotland","0980","Kommunal","RegionGotland","2120000803","000000006","..","000000038","","","","","","","","","","","",""
"Borgviksskola","94270954","Grums","1764","Enskild","BorgviksskolaEkonomiskförening","7696013486","000000012","..","000000045","","","","","","","","","","","",""
"Jättestenskolan","16891307","Grums","1764","Kommunal","Grumskommun","2120001827",".",".","000000462","","","","","","","","","","","",""
"Slottsbronsskola","16885406","Grums","1764","Kommunal","Grumskommun","2120001827","000000013","76.9","000000064","","","","","","","","","","","",""
"SödraSkolan","29262102","Grums","1764","Kommunal","Grumskommun","2120001827","000000067","47.8","000000191","","","","","","","","","","","",""
"VärmskogsFriskola","99302196","Grums","1764","Enskild","FöräldrakooperativetVärmskogEkonomiskförening","7164512886","000000012","..","000000053","","","","","","","","","","","",""
"Lunnevienheten","54556634","Grästorp","1444","Kommunal","Grästorpskommun","2120001595","000000071","43.7","000000162","","","","","","","","","","","",""
"NyaCentralskolan4-9","31381375","Grästorp","1444","Kommunal","Grästorpskommun","2120001595",".",".","000000385","","","","","","","","","","","",""
"Gullstensskolanåk7-9","89624871","Gullspång","1447","Kommunal","Gullspångskommun","2120001637",".",".","000000171","","","","","","","","","","","",""
"GullstensskolanåkF-6","41746496","Gullspång","1447","Kommunal","Gullspångskommun","2120001637","000000030","40","000000184","","","","","","","","","","","",""
"Regnbågsskolan","44509207","Gullspång","1447","Kommunal","Gullspångskommun","2120001637","000000018","..","000000126","","","","","","","","","","","",""
"EmmaskolanF-6","45945515","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000009","..","000000038","","","","","","","","","","","",""
"HakkasCentralskola","73575145","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000009","..","000000070","","","","","","","","","","","",""
"HedskolanL","45062453","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000071","50.7","000000205","","","","","","","","","","","",""
"HedskolanM","45033945","Gällivare","2523","Kommunal","Gällivarekommun","2120002726",".",".","000000161","","","","","","","","","","","",""
"Malmensfriskola","37140962","Gällivare","2523","Enskild","MalmensFriskolaAB","5565528022",".",".","000000133","","","","","","","","","","","",""
"MariaskolanF-6","58713286","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000025","52","000000149","","","","","","","","","","","",""
"MyranskolanLM","82657877","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000025","40","000000111","","","","","","","","","","","",""
"PuoltikasvaaraskolaF-6","95103750","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000003","..","000000015","","","","","","","","","","","",""
"SjöparksskolanA","46309621","Gällivare","2523","Kommunal","Gällivarekommun","2120002726",".",".","000000203","","","","","","","","","","","",""
"SjöparksskolanB","42583405","Gällivare","2523","Kommunal","Gällivarekommun","2120002726",".",".","000000203","","","","","","","","","","","",""
"Tallbackaskolan","70483173","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000034","52.9","000000260","","","","","","","","","","","",""
"Tjautjasjaureskola","70754502","Gällivare","2523","Kommunal","Gällivarekommun","2120002726","000000001",".","000000011","","","","","","","","","","","",""
"Alborgaskola","87313898","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000024","45.8","000000074","","","","","","","","","","","",""
"Andersbergsskolan","97375168","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000029","62.1","000000189","","","","","","","","","","","",""
"BergbyCentralskola1-9","55373417","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000026","46.2","000000239","","","","","","","","","","","",""
"Björkeskola","41333982","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000011","..","000000049","","","","","","","","","","","",""
"Forsbackaskola","47347348","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000016","..","000000094","","","","","","","","","","","",""
"Fridhemsskolan","80874928","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000024","58.3","000000246","","","","","","","","","","","",""
"Hagaströmsskola","31296560","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000046","54.3","000000295","","","","","","","","","","","",""
"Hedesundaskola","20872848","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000028","46.4","000000150","","","","","","","","","","","",""
"Hemlingbyskolan","34746919","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000035","60","000000079","","","","","","","","","","","",""
"InternationellaEngelskaSkolanGävle","53952728","Gävle","2180","Enskild","InternationellaEngelskaSkolaniSverigeAB","5564624368",".",".","000001090","","","","","","","","","","","",""
"KunskapsskolanGävle","21423670","Gävle","2180","Enskild","KunskapsskolaniSverigeAktiebolag","5565661815",".",".","000000391","","","","","","","","","","","",""
"LillaSätraskolan","21439131","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000124","51.6","000000160","","","","","","","","","","","",""
"Lillhagsskolan","51387807","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000049","44.9","000000643","","","","","","","","","","","",""
"Ludvigsbergsskolan","55989559","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000060","50","000000404","","","","","","","","","","","",""
"MagelungensgrundskolaGävle","64745639","Gävle","2180","Enskild","MagelungenUtvecklingAB","5564891447",".",".","000000021","","","","","","","","","","","",""
"Milboskolan","93378411","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000042","42.9","000000302","","","","","","","","","","","",""
"Nynässkolan7-9","40944032","Gävle","2180","Kommunal","Gävlekommun","2120002338",".",".","000000358","","","","","","","","","","","",""
"Prolympia,Gävle","57578095","Gävle","2180","Enskild","UlnoAB","5566577705","000000024","..","000000647","","","","","","","","","","","",""
"Sjöängsskolan","14591437","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000052","46.2","000000269","","","","","","","","","","","",""
"SofiaskolanGävleAB","80398748","Gävle","2180","Enskild","SofiaskolanGävleAB","5568478126","000000032","53.1","000000175","","","","","","","","","","","",""
"Sofiedalskolan","80177526","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000018","..","000000698","","","","","","","","","","","",""
"Solängsskolan","58984764","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000089","50.6","000000429","","","","","","","","","","","",""
"Staffansskolan","46764433","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000086","47.7","000000338","","","","","","","","","","","",""
"Stigslundsskola","91652716","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000024","..","000000567","","","","","","","","","","","",""
"StoraSätraskolan","49779956","Gävle","2180","Kommunal","Gävlekommun","2120002338",".",".","000000284","","","","","","","","","","","",""
"Strömsbroskola","53246486","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000050","58","000000245","","","","","","","","","","","",""
"Sörbyskolan","23223141","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000073","47.9","000000438","","","","","","","","","","","",""
"Tallbackensskola","62570207","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000034","35.3","000000169","","","","","","","","","","","",""
"TranmursskolanGKS","87088456","Gävle","2180","Enskild","FöreningenförGefleKristnaSkola","8850018683","000000003","..","000000066","","","","","","","","","","","",""
"Trödjeskola","70120191","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000005","..","000000021","","","","","","","","","","","",""
"Ulvsäterskolan","28831906","Gävle","2180","Kommunal","Gävlekommun","2120002338",".",".","000000368","","","","","","","","","","","",""
"Vallbacksskolan","54990077","Gävle","2180","Kommunal","Gävlekommun","2120002338",".",".","000000531","","","","","","","","","","","",""
"Vikingaskolan","82269879","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000074","55.4","000000389","","","","","","","","","","","",""
"VittraGävle","11476454","Gävle","2180","Enskild","FriskolanLyftetAB","5566044599","000000021","..","000000165","","","","","","","","","","","",""
"Ytterharnässkola","28017179","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000020","65","000000077","","","","","","","","","","","",""
"Åbyggebyskola","78748400","Gävle","2180","Kommunal","Gävlekommun","2120002338","000000019","68.4","000000048","","","","","","","","","","","",""
"Algebraskolan","40526633","Göteborg","1480","Enskild","AlgebrautbildningFöreningen","8024730445","000000021","47.6","000000175","","","","","","","","","","","",""
"AnnedalsskolanF-6","66906957","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000040","45","000000277","","","","","","","","","","","",""
"AskimsskolanF-6","42558944","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000023","..","000000273","","","","","","","","","","","",""
"AsperöskolanF-3","19582003","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000004","..","000000025","","","","","","","","","","","",""
"Assaredsskolan","25852980","Göteborg","1480","Enskild","AssaredsSkolkooperativEkFör.","7164451390","000000026","61.5","000000232","","","","","","","","","","","",""
"AzbukaLyceumGrundskola","13475966","Göteborg","1480","Enskild","AzbukaLyceumAB","5568515372","000000012","..","000000083","","","","","","","","","","","",""
"BackaskolanF-6","44439157","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000051","60.8","000000298","","","","","","","","","","","",""
"BackegårdsskolanF-6","26299421","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000044","38.6","000000240","","","","","","","","","","","",""
"BagaregårdsskolanF-6","25410468","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000026","46.2","000000164","","","","","","","","","","","",""
"BergsgårdsskolanF-6","96685185","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000046","50","000000281","","","","","","","","","","","",""
"BergsjöskolanF-9","27526205","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000052","44.2","000000416","","","","","","","","","","","",""
"BergumsskolanF-9","43545297","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000060","55","000000769","","","","","","","","","","","",""
"BjurslättsskolanF-6","37407044","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000099","51.5","000000489","","","","","","","","","","","",""
"BjörkåsskolanF-6","43136650","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000047","48.9","000000287","","","","","","","","","","","",""
"BjörlandaskolanF-6","14567750","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000075","45.3","000000474","","","","","","","","","","","",""
"BjörsaredsskolanF-3","76096182","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000022","..","000000062","","","","","","","","","","","",""
"BrandströmskaskolanNylöse","11295861","Göteborg","1480","Enskild","StiftelsenförKristenSkolverksamhet","8572054065","000000033","51.5","000000351","","","","","","","","","","","",""
"BrottkärrskolanF-6","67882295","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000041","75.6","000000192","","","","","","","","","","","",""
"BrunnsboskolanF-9","97649106","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000073","37","000000603","","","","","","","","","","","",""
"BräckeskolanF-6","29466561","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000077","57.1","000000495","","","","","","","","","","","",""
"BrännöskolanF-3","76375477","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000006","..","000000036","","","","","","","","","","","",""
"BärbyskolanF-6","55977201","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000028","42.9","000000160","","","","","","","","","","","",""
"Böskolansfriskola","83071620","Göteborg","1480","Enskild","BöskolansFriskolaEk.För.","7164451473","000000026","46.2","000000341","","","","","","","","","","","",""
"CentrinaKviberg","17517182","Göteborg","1480","Enskild","VindsegletAB","5567572234",".",".","000000312","","","","","","","","","","","",""
"CentrinaLindholmen","79866556","Göteborg","1480","Enskild","VindsegletAB","5567572234",".",".","000000312","","","","","","","","","","","",""
"CommunityskolanTynnered","88746223","Göteborg","1480","Enskild","RMBildningAB","5591946909",".",".","000000101","","","","","","","","","","","",""
"DalaskolanF-6","52278406","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000055","36.4","000000334","","","","","","","","","","","",""
"DonsöskolanF-6","67803573","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000013","..","000000143","","","","","","","","","","","",""
"Drakbergsskolan","60526603","Göteborg","1480","Enskild","KannebäcksFriskoleförening","8572069568","000000025","60","000000215","","","","","","","","","","","",""
"EbbaPetterssonsGrundskola","88247874","Göteborg","1480","Enskild","EbbaPetterssonsPrivatskolasStiftelse","8572022369","000000050","46","000000611","","","","","","","","","","","",""
"EllenKeyskolanF-6","99852133","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000049","42.9","000000267","","","","","","","","","","","",""
"EmmaskolanF-3","64026031","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000045","44.4","000000124","","","","","","","","","","","",""
"EriksboskolanF-6","80744215","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000034","41.2","000000222","","","","","","","","","","","",""
"FiskebäcksskolanF-9","80408917","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000051","43.1","000000550","","","","","","","","","","","",""
"FjällboskolanF-5","60764994","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000072","38.9","000000322","","","","","","","","","","","",""
"FjällskolanF-6","53332364","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000068","51.5","000000318","","","","","","","","","","","",""
"FlatåsskolanF-6","43664749","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000070","48.6","000000474","","","","","","","","","","","",""
"FranskaskolanGöteborg6-9","51565567","Göteborg","1480","Enskild","MedborgarskolanRegionVäst","8494001913",".",".","000000193","","","","","","","","","","","",""
"FranskaskolanGöteborgF-5","50742176","Göteborg","1480","Enskild","MedborgarskolanRegionVäst","8494001913","000000023","56.5","000000159","","","","","","","","","","","",""
"FreinetskolanBild&Form","31872640","Göteborg","1480","Enskild","FreinétskolanBild&FormMasthuggetKb","9696774224",".",".","000000243","","","","","","","","","","","",""
"FrejaskolanF-9","44605298","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000044","47.7","000000657","","","","","","","","","","","",""
"FridaskolanKvillebäcken","56328727","Göteborg","1480","Enskild","FridaskolornaAB","5564515988","000000052","44.2","000000549","","","","","","","","","","","",""
"FrölundaskolanBräcke","51009918","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000007","","","","","","","","","","","",""
"FrölundaskolanF-9","16464648","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000034","55.9","000000374","","","","","","","","","","","",""
"GamlestadsskolanF-9","29744401","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000047","51.1","000000464","","","","","","","","","","","",""
"Glöstorpsskolan7-9","85656343","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000328","","","","","","","","","","","",""
"GuldhedsskolanF-9","11814097","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000029","37.9","000000582","","","","","","","","","","","",""
"GunnaredsskolanF-3","30107536","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000043","53.5","000000101","","","","","","","","","","","",""
"GunnestorpsskolanF-6","17484314","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000050","62","000000277","","","","","","","","","","","",""
"GunnilseskolanF-6","74306815","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000025","..","000000189","","","","","","","","","","","",""
"GustaviskolanF-5","88405264","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000025","40","000000115","","","","","","","","","","","",""
"Gårdstensskolan4-9","31127129","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000443","","","","","","","","","","","",""
"GärdsmosseskolanF-6","75004443","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000071","60.6","000000255","","","","","","","","","","","",""
"Gärdsåsskolan4-9","93904124","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000289","","","","","","","","","","","",""
"GöteborgsHögreSamskolagr.","52538248","Göteborg","1480","Enskild","StiftelsenGöteborgsHögreSamskola","8572059197",".",".","000000452","","","","","","","","","","","",""
"HagaskolanF-5","17157735","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000043","46.5","000000217","","","","","","","","","","","",""
"HagenskolanF-6","31665312","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000044","52.3","000000274","","","","","","","","","","","",""
"HammarkullsskolanF-3","20175215","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000051","47.1","000000158","","","","","","","","","","","",""
"HerrgårdsskolanF-6","62479729","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000071","46.5","000000298","","","","","","","","","","","",""
"HjuviksskolanF-3","86247174","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000035","45.7","000000108","","","","","","","","","","","",""
"HovåsskolanF-9","99319890","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000036","61.1","000000510","","","","","","","","","","","",""
"HultskolanF-6","89356085","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000047","51.1","000000278","","","","","","","","","","","",""
"HällsviksskolanF-3","45963596","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000024","45.8","000000105","","","","","","","","","","","",""
"HärlandatjärnskolanF-9","60279184","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000069","37.7","000000097","","","","","","","","","","","",""
"HögenskolanF-3","15500024","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000027","44.4","000000078","","","","","","","","","","","",""
"InnovitaskolanJohanneberg","87139814","Göteborg","1480","Enskild","PysslingenFörskolorochSkolorAB","5560354309",".",".","000000275","","","","","","","","","","","",""
"InnovitaskolanS:tJörgen","27265374","Göteborg","1480","Enskild","PysslingenFörskolorochSkolorAB","5560354309","000000040","67.5","000000480","","","","","","","","","","","",""
"InternationellaEngelskaSkolanJohanneberg","41921747","Göteborg","1480","Enskild","InternationellaEngelskaSkolaniSverigeAB","5564624368",".",".","000000554","","","","","","","","","","","",""
"InternationellaEngelskaSkolanKrokslätt","45124936","Göteborg","1480","Enskild","InternationellaEngelskaSkolaniSverigeAB","5564624368",".",".","000000487","","","","","","","","","","","",""
"ISGRInternationalK-5*","41294775","Göteborg","1480","Enskild","GöteborgsregionensInternationellaSkolaAB","5565275657","000000050","56","000000325","","","","","","","","","","","",""
"ISGR/Internationalsection*","30191226","Göteborg","1480","Enskild","GöteborgsregionensInternationellaSkolaAB","5565275657",".",".","000000250","","","","","","","","","","","",""
"ISGR/Swedish-EngF-5","93758282","Göteborg","1480","Enskild","GöteborgsregionensInternationellaSkolaAB","5565275657","000000028","42.9","000000196","","","","","","","","","","","",""
"ISGR/Swedish-English","80498460","Göteborg","1480","Enskild","GöteborgsregionensInternationellaSkolaAB","5565275657",".",".","000000239","","","","","","","","","","","",""
"JENSENgrundskolaGöteborg","62764006","Göteborg","1480","Enskild","JensenEducationCollegeAB","5566358759",".",".","000000212","","","","","","","","","","","",""
"JohannebergsskolanEstetiskaF-6","20535849","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000047","68.1","000000278","","","","","","","","","","","",""
"JohannebergsskolanMontessoriF-5","60715716","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000033","45.5","000000181","","","","","","","","","","","",""
"JättestensskolanF-9","55124975","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000046","52.2","000000537","","","","","","","","","","","",""
"KannebäcksskolanDövoHörsel","56339656","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000005","..","000000036","","","","","","","","","","","",""
"KannebäcksskolanTaloSpråk","55529681","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000056","","","","","","","","","","","",""
"KannebäcksskolanTremastarenF-6","25795325","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000075","","","","","","","","","","","",""
"KarlJohansskolanF-6","61374247","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000090","41.1","000000513","","","","","","","","","","","",""
"KatolskaskolanavNotreDame","45045293","Göteborg","1480","Enskild","VårFruAB","5591760342","000000027","44.4","000000322","","","","","","","","","","","",""
"KlarebergsskolanF-9","71204165","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000097","50.5","000000955","","","","","","","","","","","",""
"Kristinaskolan","46512685","Göteborg","1480","Enskild","StiftelsenförKristnaSkoloriAngeredområdet","8572042193","000000022","50","000000200","","","","","","","","","","","",""
"KungsladugårdsskolanF-6","91798133","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000074","48.6","000000543","","","","","","","","","","","",""
"KunskapsskolanKrokslätt","83045482","Göteborg","1480","Enskild","KunskapsskolaniSverigeAktiebolag","5565661815",".",".","000000269","","","","","","","","","","","",""
"KvibergsskolanF-9","79522184","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000049","30.6","000000743","","","","","","","","","","","",""
"Kålltorpsskolan4-9","16954837","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000665","","","","","","","","","","","",""
"KärralundsskolanF-9","14037390","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000027","37","000000398","","","","","","","","","","","",""
"KärraskolanF-9","46391611","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000071","52.1","000000711","","","","","","","","","","","",""
"KärrdalsskolanF-5","31282737","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000027","51.9","000000127","","","","","","","","","","","",""
"LandalaskolanF-3","30055205","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000014","..","000000042","","","","","","","","","","","",""
"LandamäreskolanF-3","38862939","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000091","41.8","000000228","","","","","","","","","","","",""
"LerlyckeskolanF-6","48653651","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000050","54","000000284","","","","","","","","","","","",""
"LillaRömosseskolan","23522104","Göteborg","1480","Enskild","FöreningenFramstegsskolaniGöteborg","8551021952","000000021","47.6","000000047","","","","","","","","","","","",""
"LillaSamskolanF-6","67568030","Göteborg","1480","Enskild","StiftelsenGöteborgsHögreSamskola","8572059197","000000050","48","000000396","","","","","","","","","","","",""
"LillaTrulsegårdsskolanF-3","81015114","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000025","56","000000073","","","","","","","","","","","",""
"LillebyskolanF-6","29670879","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000053","47.2","000000470","","","","","","","","","","","",""
"LindåsskolanF-9","87375656","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000071","46.5","000000609","","","","","","","","","","","",""
"LundenskolanF-9","62419611","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000074","41.9","000000579","","","","","","","","","","","",""
"LångedragsskolanF-6","28236603","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000023","..","000000176","","","","","","","","","","","",""
"LångmosseskolanF-3","61240460","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000063","57.1","000000273","","","","","","","","","","","",""
"LärjeskolanF-9","39701961","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000049","53.1","000000588","","","","","","","","","","","",""
"Lövgärdesskolan4-9","31928894","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000343","","","","","","","","","","","",""
"MagelungensGrundskolaKarlaskolanGöteborg","97205555","Göteborg","1480","Enskild","MagelungenUtvecklingAB","5564891447",".",".","000000023","","","","","","","","","","","",""
"Martinaskolan","47927698","Göteborg","1480","Enskild","Waldorfföreningen,Martinaskolan,ekonomiskförening","7164449576","000000018","77.8","000000156","","","","","","","","","","","",""
"MontessoriskolanAlexandra","52061762","Göteborg","1480","Enskild","StiftelsenJudiskaSamskolaniGöteborg","8572092206","000000009","..","000000046","","","","","","","","","","","",""
"MontessoriskolanCasa","76938537","Göteborg","1480","Enskild","StiftelsenCasaDeiBambini","8520004261","000000020","65","000000219","","","","","","","","","","","",""
"MontessoriskolanCentrum","73995321","Göteborg","1480","Enskild","StiftelsenMontessoriskolanCentrum","8572066309","000000023","60.9","000000235","","","","","","","","","","","",""
"MontessoriskolanElyseum6-9","75602219","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000102","","","","","","","","","","","",""
"MontessoriskolanSkäret","25894254","Göteborg","1480","Enskild","SkäretSkolkooperativEk.För.","7164452323","000000022","..","000000282","","","","","","","","","","","",""
"MossebergsskolanF-2","16883454","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000047","46.8","000000086","","","","","","","","","","","",""
"NoblaskolanNyaHovåsF-5","75616744","Göteborg","1480","Enskild","PysslingenFörskolorochSkolorAB","5560354309","000000068","48.5","000000351","","","","","","","","","","","",""
"NoblaskolanNyaHovåsåk6-9","21497343","Göteborg","1480","Enskild","PysslingenFörskolorochSkolorAB","5560354309",".",".","000000474","","","","","","","","","","","",""
"NoleredsskolanF-6","52601922","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000048","56.3","000000379","","","","","","","","","","","",""
"NordhemsskolanF-9","19804936","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000014","..","000000809","","","","","","","","","","","",""
"Nordlyckeskolan7-9","93002896","Göteborg","1480","Kommunal","Göteborgskommun","2120001355",".",".","000000434","","","","","","","","","","","",""
"NyaskolanLänsmansgårdenF-3","36115436","Göteborg","1480","Kommunal","Göteborgskommun","2120001355","000000083","50.6","000000155","","","","","","","","","","","",""
